"Category";"Heures Creuses";"Heures Pleines"
"04/11/19 → 23/12/19";751;860
"23/12/19 → 21/02/20";1037;1188
"21/02/20 → 18/05/20";1382;1596
"18/05/20 → 01/06/20";-341;-1318
"01/06/20 → 21/07/20";288;323
"21/07/20 → 21/08/20";103;159
"21/08/20 → 21/09/20";160;213
"21/09/20 → 21/10/20";267;274
"21/10/20 → 21/11/20";307;296
"21/11/20 → 21/12/20";505;398
"21/12/20 → 21/01/21";552;492
"21/01/21 → 21/02/21";457;418
"21/02/21 → 21/03/21";485;436
"21/03/21 → 21/04/21";556;432
"21/04/21 → 21/05/21";317;244
"21/05/21 → 21/06/21";256;245
"21/06/21 → 21/07/21";204;225
"21/07/21 → 21/08/21";136;170
"21/08/21 → 21/09/21";204;241
"21/09/21 → 21/10/21";272;299
"21/10/21 → 21/11/21";420;351
"21/11/21 → 21/12/21";639;517
"21/12/21 → 21/01/22";625;581
"21/01/22 → 21/02/22";667;536
"21/02/22 → 21/03/22";501;387
"21/03/22 → 21/04/22";381;311
"21/04/22 → 21/05/22";262;242
"21/05/22 → 21/06/22";198;204
"21/06/22 → 21/07/22";192;203
